カテゴリ	日付	HICP（消費者物価調和指数）
住居・水道・電気・ガス・その他燃料	2013-01-01	2.3
住居・水道・電気・ガス・その他燃料	2014-01-01	1
住居・水道・電気・ガス・その他燃料	2015-01-01	-0.4
住居・水道・電気・ガス・その他燃料	2016-01-01	-0.7
住居・水道・電気・ガス・その他燃料	2017-01-01	1.8
住居・水道・電気・ガス・その他燃料	2018-01-01	2.5
住居・水道・電気・ガス・その他燃料	2019-01-01	1.8
住居・水道・電気・ガス・その他燃料	2020-01-01	-0.2
総合指数（HICP）	2010-01-01	2.1
総合指数（HICP）	2011-01-01	3.1
総合指数（HICP）	2012-01-01	2.6
総合指数（HICP）	2013-01-01	1.5
総合指数（HICP）	2014-01-01	0.6
総合指数（HICP）	2015-01-01	0.1
総合指数（HICP）	2016-01-01	0.2
総合指数（HICP）	2017-01-01	1.7
総合指数（HICP）	2018-01-01	1.9
総合指数（HICP）	2019-01-01	1.5
総合指数（HICP）	2020-01-01	0.7
その他の財・サービス	2010-01-01	2.2
その他の財・サービス	2011-01-01	2.5
その他の財・サービス	2012-01-01	2.2
その他の財・サービス	2013-01-01	1.5
その他の財・サービス	2014-01-01	0.7
その他の財・サービス	2015-01-01	0.9
その他の財・サービス	2016-01-01	1.3
その他の財・サービス	2017-01-01	1
その他の財・サービス	2018-01-01	0.9
その他の財・サービス	2019-01-01	1.5
その他の財・サービス	2020-01-01	2.2
教育	2010-01-01	2.9
教育	2011-01-01	2.5
教育	2012-01-01	3.2
教育	2013-01-01	6.3
教育	2014-01-01	3
教育	2015-01-01	2.9
教育	2016-01-01	2.2
教育	2017-01-01	1.1
教育	2018-01-01	0
教育	2019-01-01	1.4
教育	2020-01-01	1.4
交通	2010-01-01	5.4
交通	2011-01-01	5.9
交通	2012-01-01	3.7
交通	2013-01-01	0.4
交通	2014-01-01	-0.1
交通	2015-01-01	-2.7
交通	2016-01-01	-1.2
交通	2017-01-01	3.2
交通	2018-01-01	3.5
交通	2019-01-01	1.3
交通	2020-01-01	-2.3
