年	地域	国	メダル数
2008	南アジア	アフガニスタン	1
2012	南アジア	アフガニスタン	1
1984	北アフリカ	アルジェリア	2
1992	北アフリカ	アルジェリア	2
1996	北アフリカ	アルジェリア	3
2000	北アフリカ	アルジェリア	5
2008	北アフリカ	アルジェリア	2
2012	北アフリカ	アルジェリア	1
1924	ラテンアメリカ・カリブ海地域	アルゼンチン	11
1928	ラテンアメリカ・カリブ海地域	アルゼンチン	32
1932	ラテンアメリカ・カリブ海地域	アルゼンチン	4
1936	ラテンアメリカ・カリブ海地域	アルゼンチン	11
1948	ラテンアメリカ・カリブ海地域	アルゼンチン	12
1952	ラテンアメリカ・カリブ海地域	アルゼンチン	6
1956	ラテンアメリカ・カリブ海地域	アルゼンチン	2
1960	ラテンアメリカ・カリブ海地域	アルゼンチン	4
1964	ラテンアメリカ・カリブ海地域	アルゼンチン	1
1968	ラテンアメリカ・カリブ海地域	アルゼンチン	2
1972	ラテンアメリカ・カリブ海地域	アルゼンチン	1
1988	ラテンアメリカ・カリブ海地域	アルゼンチン	13
1992	ラテンアメリカ・カリブ海地域	アルゼンチン	2
1996	ラテンアメリカ・カリブ海地域	アルゼンチン	20
2000	ラテンアメリカ・カリブ海地域	アルゼンチン	20
2004	ラテンアメリカ・カリブ海地域	アルゼンチン	47
2008	ラテンアメリカ・カリブ海地域	アルゼンチン	51
2012	ラテンアメリカ・カリブ海地域	アルゼンチン	20
1996	西アジア	アルメニア	2
2000	西アジア	アルメニア	1
2008	西アジア	アルメニア	6
2012	西アジア	アルメニア	2
1908	オーストラレーシア	オーストラレーシア	19
1912	オーストラレーシア	オーストラレーシア	10
1896	オーストラレーシア	オーストラリア	2
1900	オーストラレーシア	オーストラリア	5
1920	オーストラレーシア	オーストラリア	6
1924	オーストラレーシア	オーストラリア	10
1928	オーストラレーシア	オーストラリア	4
1932	オーストラレーシア	オーストラリア	5
1936	オーストラレーシア	オーストラリア	1
1948	オーストラレーシア	オーストラリア	16
1952	オーストラレーシア	オーストラリア	20
1956	オーストラレーシア	オーストラリア	61
1960	オーストラレーシア	オーストラリア	36
1964	オーストラレーシア	オーストラリア	42
1968	オーストラレーシア	オーストラリア	49
1972	オーストラレーシア	オーストラリア	20
1976	オーストラレーシア	オーストラリア	24
1980	オーストラレーシア	オーストラリア	12
1984	オーストラレーシア	オーストラリア	50
1988	オーストラレーシア	オーストラリア	34
1992	オーストラレーシア	オーストラリア	57
1996	オーストラレーシア	オーストラリア	132
2000	オーストラレーシア	オーストラリア	183
2004	オーストラレーシア	オーストラリア	157
2008	オーストラレーシア	オーストラリア	149
2012	オーストラレーシア	オーストラリア	114
1896	西ヨーロッパ	オーストリア	5
1900	西ヨーロッパ	オーストリア	6
1904	西ヨーロッパ	オーストリア	1
1908	西ヨーロッパ	オーストリア	1
1912	西ヨーロッパ	オーストリア	14
