大陸	国	都市	人口
アジア	中国	上海	24256800
アジア	パキスタン	カラチ	23500000
アジア	中国	北京	21516000
アジア	インド	デリー	16787941
アジア	中国	天津	15200000
アジア	日本	東京	13513734
アジア	中国	広州	13080500
アジア	インド	ムンバイ	12442373
アジア	中国	深セン	10467400
アジア	インドネシア	ジャカルタ	10075310
アフリカ	ナイジェリア	ラゴス	17578000
アフリカ	エジプト	カイロ	11001000
アフリカ	コンゴ民主共和国	キンシャサ・ブラザヴィル	8754000
アフリカ	ソマリア	モガディシュ	6346000
アフリカ	スーダン	ハルツーム・オムドゥルマン	5172000
アフリカ	アンゴラ	ルアンダ	4772000
アフリカ	エジプト	アレクサンドリア	4387000
アフリカ	タンザニア	ダルエスサラーム	4364541
アフリカ	コートジボワール	アビジャン	4125000
アフリカ	南アフリカ	大ヨハネスブルグ	3670000
ヨーロッパ	トルコ	イスタンブール	14025646
ヨーロッパ	ロシア	モスクワ	12330126
ヨーロッパ	イギリス	ロンドン	8673713
ヨーロッパ	ロシア	サンクトペテルブルク	5225690
ヨーロッパ	ドイツ	ベルリン	3562166
ヨーロッパ	スペイン	マドリード	3165235
ヨーロッパ	ウクライナ	キエフ	2909491
ヨーロッパ	イタリア	ローマ	2874038
ヨーロッパ	フランス	パリ	2241346
ヨーロッパ	ベラルーシ	ミンスク	1949400
北アメリカ	メキシコ	メキシコシティ	8918653
北アメリカ	アメリカ合衆国	ニューヨーク	8550405
北アメリカ	アメリカ合衆国	ロサンゼルス	3971883
北アメリカ	カナダ	トロント	2826498
北アメリカ	アメリカ合衆国	シカゴ	2720546
北アメリカ	アメリカ合衆国	ヒューストン	2296224
北アメリカ	キューバ	ハバナ	2117625
北アメリカ	カナダ	モントリオール	1753034
北アメリカ	メキシコ	エカテペック・デ・モレロス	1677678
北アメリカ	アメリカ合衆国	フィラデルフィア	1567442
南アメリカ	ブラジル	サンパウロ	11967825
南アメリカ	ペルー	リマ	8894412
南アメリカ	コロンビア	ボゴタ	7862277
南アメリカ	ブラジル	リオデジャネイロ	6476631
南アメリカ	チリ	サンティアゴ	5507282
南アメリカ	ベネズエラ	カラカス	3289886
南アメリカ	アルゼンチン	ブエノスアイレス	3054267
南アメリカ	ブラジル	サルヴァドール	2921087
南アメリカ	ブラジル	ブラジリア	2914830
南アメリカ	ブラジル	フォルタレザ	2591188
